pixel_group,iy,ix,lon,lat,bldh,ahem,y_ucd_slope_decade,y_wpp_slope_decade,ddT_cool_decade,dRH_decade,dpop_decade,dinfil_decade,dbvol_decade
106_72,106.0,72.0,88.25399780273438,22.56134033203125,3.6423473358154297,83893.734375,0.0,0.0,0.31722121573022377,2.5055151928281783,248.3908520237546,3.1856994523333446,592.4674599285056
106_73,106.0,73.0,88.26373291015625,22.56134033203125,4.829233646392822,153652.453125,0.35333073447111346,227.3307733535506,0.3755340013116928,2.0812286179823074,-970.4233272313193,4.882376941807596,864.8866502825185
106_74,106.0,74.0,88.27346801757812,22.561355590820312,5.992371082305908,226229.046875,0.36430809330676317,114.89596002715408,0.3550894761877307,2.261421384212545,-678.5397958227629,6.6948693616803725,918.2783671586715
106_75,106.0,75.0,88.283203125,22.561355590820312,5.858592510223389,278961.78125,0.35097267904844676,51.907964974143006,0.33416860657864395,2.3370392376196842,79.44414314748616,5.836807194671069,531.9838272601476
106_76,106.0,76.0,88.29296875,22.561363220214844,4.579373836517334,347152.59375,0.3347439959480314,59.62865469387836,0.32318678289321956,2.3363636856223042,-497.30951625922506,6.057468287619279,325.4041563364853
106_77,106.0,77.0,88.30270385742188,22.561363220214844,6.587584972381592,489073.375,0.5532439784370226,66.89129210219053,0.2815781484230858,2.5185059264422422,-332.3880736854244,9.036060910383274,507.33384023293354
106_78,106.0,78.0,88.31243896484375,22.561363220214844,8.58115005493164,541481.75,0.548250248511339,54.524202447301235,0.2616150352787708,2.595547241882288,-114.0313112603782,12.793894271569059,407.2847958948339
106_79,106.0,79.0,88.32217407226562,22.561363220214844,7.122366905212402,420964.40625,0.41660607740887856,45.20191992470927,0.2075741475798547,2.845721922889712,265.81160091386073,10.967779405882439,155.27023033902216
106_80,106.0,80.0,88.3319091796875,22.561363220214844,5.654552936553955,450090.25,0.0,0.0,0.2478359546168704,2.766458137506906,1980.8256908008534,7.144667354457054,231.1730281365314
106_81,106.0,81.0,88.3416748046875,22.561363220214844,7.244288921356201,1862715.375,0.0,0.0,0.1365368832521333,3.5315684328458707,11930.864492043358,5.606513604026878,457.9885154808579
106_82,106.0,82.0,88.35140991210938,22.561363220214844,10.32923412322998,3382920.0,0.7645655558118082,-65.96916720162494,0.14175696566535978,3.033326674648528,17685.31859000231,5.912938839395108,274.7718231088561
106_83,106.0,83.0,88.36114501953125,22.561363220214844,13.562195777893066,4030830.25,0.5197057556842086,-17.348105529888013,0.0852408884196264,3.352441632393284,17182.747996425278,2.985810846420232,85.71047624538747
106_84,106.0,84.0,88.37088012695312,22.561363220214844,13.982600212097168,4299324.5,0.5125997471193545,-15.630209845758733,0.15363855115601938,2.87781045618563,18172.78014010609,2.016652096681489,28.18842250922509
106_85,106.0,85.0,88.380615234375,22.561363220214844,13.29640007019043,3841562.25,0.4842006412379416,-27.93378060743034,0.12167504792723707,3.234496445225349,12656.90865717251,4.389875207879887,59.56490717250923
106_86,106.0,86.0,88.390380859375,22.561355590820312,11.851106643676758,3043038.0,0.47987626487478563,-48.33154354387507,0.10174402891489852,3.5087524386291706,7948.871601850786,7.261583391590751,337.2284363468635
106_87,106.0,87.0,88.40011596679688,22.561355590820312,10.683496475219727,575974.0,0.2778206606192783,-22.10747341757739,0.06021478519228552,3.8976337973933344,4758.085135709755,8.59785671163749,654.1737056042437
106_88,106.0,88.0,88.40985107421875,22.56134033203125,9.883524894714355,285820.9375,0.2974397900799544,-27.626857047618994,0.038625569361162355,4.0941546661230985,3003.0870005477395,10.901704696711578,594.7198238583949
107_63,107.0,63.0,88.16632080078125,22.570274353027344,5.187737941741943,117306.015625,0.32095224435039116,-213.49275132384022,0.1514409476980512,3.3893529400046973,1683.0323842178855,2.1802552423793893,2506.0715881572883
107_64,107.0,64.0,88.17605590820312,22.570274353027344,7.364406585693359,103331.703125,0.44633294823424846,57.67714254286204,0.1812479504799931,3.21450771377217,412.4160912995848,9.547277218301357,9439.449125057658
107_65,107.0,65.0,88.185791015625,22.570289611816406,8.618143081665039,64990.03515625,0.4487066955144115,450.8649244326065,0.19627419784940037,3.10249990958817,18.185994616293815,15.611249881476931,12783.599713877997
107_66,107.0,66.0,88.19552612304688,22.57030487060547,6.597016334533691,126367.140625,0.4388493959314269,732.6608885797509,0.1563147513188999,3.3417559358212268,-2021.0455840276177,10.86998390535587,7184.495917175969
107_67,107.0,67.0,88.20526123046875,22.57030487060547,2.8050687313079834,198891.515625,0.0,0.0,0.12966930206411442,3.5334691730698427,-1242.4128120675741,7.0592568105437214,1334.6552482126385
107_68,107.0,68.0,88.21502685546875,22.57030487060547,2.4007158279418945,159438.21875,0.0,0.0,0.16943956213243777,3.3061920650489984,-1639.570091782461,1.0872256535885518,377.75342877940494
107_69,107.0,69.0,88.22476196289062,22.570327758789062,5.463159084320068,353966.5625,0.0,0.0,0.24145823123270296,3.0050824982972673,-2327.5396751037824,0.6273567192668844,995.5315058521682
107_70,107.0,70.0,88.2344970703125,22.570327758789062,7.832287311553955,289717.9375,0.36245997981391714,131.24067287567615,0.30005254428764994,2.4489485444489207,-5291.555869464944,3.0490261514248447,1460.666675074954
107_71,107.0,71.0,88.24423217773438,22.570327758789062,6.450104713439941,114938.7265625,0.355259627653664,351.0963096261771,0.3244159318424239,2.2708286262668533,-3128.2315074737658,3.8206301052192044,1260.3639226821954
107_72,107.0,72.0,88.25396728515625,22.570327758789062,5.077020645141602,118262.046875,0.3725910692637257,197.8538774071848,0.37581102434559505,2.031759499237418,-98.29733535372466,4.909197536341818,1145.7506738641605
107_73,107.0,73.0,88.26373291015625,22.570343017578125,6.715709686279297,479281.0,0.3662412709855506,48.43494163533656,0.394948698937673,1.9409416861067375,-698.5214627536901,7.332614110404715,1881.8354690382841
107_74,107.0,74.0,88.27346801757812,22.570343017578125,8.723339080810547,568232.625,0.3672227395416626,39.34859755381805,0.38219268911439114,2.1035318904823095,-610.3173287592251,8.811157479937227,2664.427179428044
107_75,107.0,75.0,88.283203125,22.570358276367188,8.622456550598145,516557.46875,0.34733353835630243,38.43206387446787,0.33001157190526986,2.396109500700939,-377.6056020814115,7.98169487956705,2090.9698598939117
107_76,107.0,76.0,88.29296875,22.570358276367188,6.692016124725342,423112.375,0.0,0.0,0.16729939027905905,3.377932197818823,-754.1444808002768,6.238986152564467,977.3908484202029
