iy,ix,pixel_group,lon,lat,y_ucd_wm2,y_wpp,dT_cool,Tset_C,Tout_C,RH,pop,infil,bvol,bldh,ahem,year
92,85,92_85,88.38058471679688,22.43543243408203,0.0,0.0,6.776275634765625,24.0,30.776275634765625,78.60421818439815,3319.263671875,13.896303176879883,6357.953125,4.5717597007751465,195416.984375,2019
92,86,92_86,88.39031982421875,22.43541717529297,0.0,0.0,6.7320556640625,24.0,30.7320556640625,78.97502863173739,3101.81005859375,24.670440673828125,9005.0634765625,5.2109599113464355,206239.234375,2019
92,87,92_87,88.40005493164062,22.43541717529297,1.4659397602081299,231.84879624135914,6.564788818359375,24.0,30.564788818359375,78.10562724341906,6322.82666015625,37.04003143310547,10484.7939453125,6.0993547439575195,392158.53125,2019
93,84,93_84,88.370849609375,22.444412231445312,1.5180085897445679,387.9266569849763,6.64794921875,24.0,30.64794921875,77.70093866896259,3913.133056640625,21.8632869720459,11610.2958984375,6.4113616943359375,233355.859375,2019
93,85,93_85,88.38058471679688,22.444412231445312,1.5137110948562622,368.04021459274844,6.638641357421875,24.0,30.638641357421875,77.69212782348568,4112.89599609375,38.40297317504883,18769.275390625,8.695158958435059,201107.078125,2019
93,86,93_86,88.39031982421875,22.444412231445312,1.4810067415237427,290.0878061433044,6.60791015625,24.0,30.60791015625,77.81868038852276,5105.3740234375,44.841609954833984,23908.037109375,9.293987274169922,321660.5,2019
93,87,93_87,88.40005493164062,22.444412231445312,1.4530349969863892,173.36622679641195,6.631683349609375,24.0,30.631683349609375,77.6889130659234,8381.3037109375,46.812870025634766,21053.03125,8.360023498535156,526473.25,2019
93,90,93_90,88.42926025390625,22.444381713867188,1.4988304376602173,254.69063334696278,6.659759521484375,24.0,30.659759521484375,77.61047084320641,5884.90625,36.614356994628906,30494.55078125,8.854938507080078,334137.46875,2019
93,91,93_91,88.43899536132812,22.444374084472656,1.481956124305725,355.05431066814936,6.60968017578125,24.0,30.60968017578125,77.76163155396368,4173.8857421875,42.821205139160156,26976.833984375,8.06129264831543,253038.5,2019
94,77,94_77,88.302734375,22.453407287597656,1.4799853563308716,255.05194703452813,6.604217529296875,24.0,30.604217529296875,78.01961200644433,5802.68212890625,27.610912322998047,28474.708984375,8.725749969482422,369296.4375,2019
94,83,94_83,88.36114501953125,22.453407287597656,1.5306633710861206,463.82963116294945,6.745758056640625,24.0,30.745758056640625,77.04381556106843,3300.05517578125,42.099735260009766,16813.859375,6.39129114151001,100582.625,2019
94,84,94_84,88.370849609375,22.453407287597656,1.5678696632385254,335.95112413996793,6.7957763671875,24.0,30.7957763671875,76.7893066888002,4666.95751953125,44.21015548706055,23989.849609375,8.713777542114258,273160.21875,2019
94,85,94_85,88.38058471679688,22.453407287597656,1.5566225051879883,281.4885798011756,6.724761962890625,24.0,30.724761962890625,77.05076154421208,5529.966796875,51.0499153137207,32597.14453125,10.027314186096191,311618.03125,2019
94,86,94_86,88.39031982421875,22.453407287597656,1.5191043615341187,198.45295620758523,6.725311279296875,24.0,30.725311279296875,77.11932315908805,7654.73291015625,53.42177963256836,33877.265625,9.86328411102295,481670.9375,2019
94,87,94_87,88.40005493164062,22.453384399414062,1.4387894868850708,248.1924381953309,6.681793212890625,24.0,30.681793212890625,77.32657197053317,5797.072265625,41.8524169921875,22621.2890625,8.115564346313477,353302.71875,2019
94,88,94_88,88.4097900390625,22.453384399414062,0.0,0.0,6.70367431640625,24.0,30.70367431640625,79.32025478305205,4807.74365234375,41.42352294921875,14240.162109375,6.721234321594238,257725.921875,2019
94,89,94_89,88.41952514648438,22.45337677001953,1.4405155181884766,319.9749137258023,6.6717529296875,24.0,30.6717529296875,77.45921097007505,4501.9638671875,33.51482391357422,14944.3232421875,6.937895774841309,273454.1875,2019
95,77,95_77,88.302734375,22.46240234375,1.4957940578460693,196.61560281594046,6.690399169921875,24.0,30.690399169921875,77.44293812239302,7607.70751953125,29.009370803833008,27632.587890625,8.096571922302246,478829.84375,2019
95,78,95_78,88.31243896484375,22.46240997314453,1.520171046257019,199.883318294891,6.67755126953125,24.0,30.67755126953125,77.5355008083203,7605.2919921875,68.34883880615234,36024.84765625,9.592966079711914,397328.28125,2019
95,82,95_82,88.35137939453125,22.46240997314453,1.56375253200531,317.32867894372566,6.80023193359375,24.0,30.80023193359375,76.68090658815633,4927.86376953125,44.381649017333984,24520.638671875,6.573655605316162,112987.5390625,2019
95,83,95_83,88.36114501953125,22.46240997314453,1.5745353698730469,278.418147278794,6.85546875,24.0,30.85546875,76.29795998879659,5655.2900390625,59.540565490722656,32984.2109375,7.913066387176514,136936.375,2019
95,84,95_84,88.370849609375,22.46240234375,1.5679831504821777,249.603386715053,6.889984130859375,24.0,30.889984130859375,75.96702255393956,6281.8984375,66.79151916503906,37515.58984375,9.232528686523438,218951.046875,2019
95,85,95_85,88.380615234375,22.46240234375,3.88076114654541,472.96768063710135,7.01025390625,24.0,31.01025390625,75.20988154077924,8205.1298828125,69.79972839355469,42666.87109375,10.140745162963867,1704453.375,2019
95,86,95_86,88.39031982421875,22.46240234375,1.53750741481781,194.01309705352645,6.84381103515625,24.0,30.84381103515625,76.39155807484352,7924.7607421875,66.63750457763672,39280.99609375,9.820691108703613,619332.4375,2019
95,87,95_87,88.40005493164062,22.46240234375,1.4711451530456543,287.0808246082028,6.752716064453125,24.0,30.752716064453125,76.86794680261727,5124.498046875,55.83357620239258,29651.06640625,8.705050468444824,307557.6875,2019
